Brand,Title,Price,MRP,Discount_Percent,Rating,Review_Count,Size,URL
Aristocrat,"Aristocrat Large Polypropylene Airpro Spinner Check-in 75 Cm() 8 Wheels Trolley Bags for Travel Hard Case Luggage, Lightweight Bag with Combination Lock &amp; Robust Trolley with 3 Years Warranty (Blue)",2099.0,12920.0,84.0,4.2,12676,Large,https://www.amazon.in/Aristocrat-Trolley-Lightweight-Combination-Warranty/dp/B0D4S1FHLD/ref=sr_1_12?sr=8-12
Aristocrat,Aristocrat Solana Cabin Trolley Bag 53cm | Small | Hard Luggage | 8-Wheel Suitcase with Laptop Compartment for Business Travel | TSA Lock with Anti-Theft Zipper | 3 Years International Warranty (Blue),2999.0,8000.0,63.0,3.9,44,Cabin,https://www.amazon.in/Aristocrat-Suitcase-Compartment-Anti-Theft-International/dp/B0GVSH9MJD/ref=sr_1_13?sr=8-13
Aristocrat,Aristocrat Medium Commander 69Cms Premium Polyester with PVC Coating Soft Sided Check-in 4 Spinner Wheels Black Suitcase,2119.0,9300.0,77.0,4.3,1905,Medium,https://www.amazon.in/Aristocrat-Commander-Premium-Polyester-Suitcase/dp/B0C1K5S9X4/ref=sr_1_14?sr=8-14
Aristocrat,Aristocrat Atlas Check-in Trolley Bag 66cm | Medium | Hard Luggage | Smooth 8-Wheel Suitcase | Secure Combination Lock with Sturdy Zipper | Full Fabric Convipack | 3-Year Warranty (Teal Blue),1999.0,8490.0,76.0,4.0,1271,Medium,https://www.amazon.in/Aristocrat-Suitcase-Combination-Convipack-Warranty/dp/B0FPXK5JRQ/ref=sr_1_15?sr=8-15
Nasher Miles,Nasher Miles Springfield Hard-Sided Polypropylene Check-in Luggage 28 inch | 75cm | 8 Wheels Large Trolley Bag for Travel | Suitcase (Cool Mint),2799.0,16995.0,84.0,3.7,67,Large,https://www.amazon.in/Nasher-Miles-Springfield-Hard-Sided-Polypropylene/dp/B0D47KQ81Z/ref=sr_1_5?sr=8-5
Nasher Miles,Nasher Miles Boston Hard-Sided Polypropylene Cabin Luggage 20 inch | 55cm | 8 Wheels Double Spinner Small Trolley Bag for Travel | Suitcase (Grey),2449.0,12995.0,81.0,4.1,716,Cabin,https://www.amazon.in/Nasher-Miles-Hard-Sided-Polypropylene-Suitcase/dp/B0D766WDBV/ref=sr_1_6?sr=8-6
Nasher Miles,Nasher Miles Polypropylene 360 Degree Paris Hard-Sided Cabin Luggage 20 inch | 55cm | 8 Wheels Small Trolley Bag for Travel | Suitcase (Pastel Green),2699.0,13995.0,81.0,4.2,2059,Cabin,https://www.amazon.in/Nasher-Miles-Hard-Sided-Polypropylene-Luggage/dp/B09G72J5Y6/ref=sr_1_7?sr=8-7
Nasher Miles,Nasher Miles Paris Hard-Sided Polypropylene Cabin Luggage 20 inch | 55cm | 8 Wheels Double Spinner Small Trolley Bag for Travel | Suitcase (Navy Blue),2299.0,13995.0,84.0,4.2,2059,Cabin,https://www.amazon.in/Nasher-Miles-Paris-Navy-Blue/dp/B09G74MNFL/ref=sr_1_8?sr=8-8
Nasher Miles,Nasher Miles Paris Hard-Sided Polypropylene Check-in Luggage 24 inch | 65cm | 8 Wheels Medium Trolley Bag for Travel | Suitcase (Grey),2999.0,15995.0,81.0,4.2,2059,Medium,https://www.amazon.in/Nasher-Miles-Hard-Sided-Polypropylene-Suitcase/dp/B0GCZJR5ZY/ref=sr_1_9?sr=8-9
Nasher Miles,Nasher Miles Paris Hard-Sided Polypropylene Check-in Luggage 24 inch | 65cm | 8 Wheels Medium Trolley Bag for Travel | Suitcase (Peach),2799.0,15995.0,83.0,4.2,2059,Medium,https://www.amazon.in/Nasher-Miles-Paris-Polypropylene-Peach/dp/B09G715R22/ref=sr_1_10?sr=8-10
Nasher Miles,Nasher Miles Large Vienna Hard-Sided Polypropylene Double Spinner Check-in Luggage 28 inch | 75cm | 8 Wheels Trolley Bag for Travel | Suitcase (Cream White),3499.0,17995.0,81.0,4.2,543,Large,https://www.amazon.in/Nasher-Miles-Hard-Sided-Polypropylene-Luggage/dp/B0CGTXL5V1/ref=sr_1_11?sr=8-11
Nasher Miles,Nasher Miles Polypropylene 360 Degree Paris Hard-Sided Cabin Luggage 20 inch | 55cm | 8 Wheels Small Trolley Bag for Travel | Suitcase (Maroon),2549.0,13995.0,82.0,4.2,2059,Cabin,https://www.amazon.in/Nasher-Miles-Paris-Polypropylene-Maroon/dp/B09G72D86K/ref=sr_1_12?sr=8-12
Nasher Miles,Nasher Miles Cabin Vienna Hard-Sided Polypropylene Luggage 20 inch | 55cm | 8 Wheels Double Spinner Small Trolley Bag for Travel | Suitcase (Pink),2349.0,13995.0,83.0,4.2,543,Cabin,https://www.amazon.in/Nasher-Miles-Hard-Sided-Polypropylene-Luggage/dp/B0CGTXCH1G/ref=sr_1_13?sr=8-13
Nasher Miles,Nasher Miles Boston Hard-Sided Polypropylene Double Spinner Check-in Luggage 28 inch | 75cm | 8 Wheels Large Trolley Bag for Travel | Suitcase (Black),3149.0,16995.0,81.0,4.1,716,Large,https://www.amazon.in/Nasher-Miles-Hard-Sided-Polypropylene-Suitcase/dp/B0D765DC6Q/ref=sr_1_14?sr=8-14
